['刘二上访记', '大陆', '剧情', '', 'https://movie.douban.com/subject/21715471/', 'https://img3.doubanio.com/lpic/s25805382.jpg']
['荒山泪', '大陆', '剧情', '9.4', 'https://movie.douban.com/subject/3724033/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1945500364.jpg']
['茶馆', '大陆', '剧情', '9.3', 'https://movie.douban.com/subject/1461403/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2262122096.jpg']
['鬼子来了', '大陆', '剧情', '9.2', 'https://movie.douban.com/subject/1291858/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1181775734.jpg']
['背靠背，脸对脸', '大陆', '剧情', '9.2', 'https://movie.douban.com/subject/1307856/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2092903615.jpg']
['狐妖小红娘剧场版：王权富贵', '大陆', '剧情', '9.2', 'https://movie.douban.com/subject/26946612/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2409467410.jpg']
['活着', '大陆', '剧情', '9.1', 'https://movie.douban.com/subject/1292365/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173575484.jpg']
['天堂回信', '大陆', '剧情', '9.1', 'https://movie.douban.com/subject/1418076/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1090024531.jpg']
['京生', '大陆', '剧情', '9.1', 'https://movie.douban.com/subject/6798389/', 'https://img1.doubanio.com/lpic/s24229398.jpg']
['金花路5号', '大陆', '剧情', '9.1', 'https://movie.douban.com/subject/2282452/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1961367162.jpg']
['芙蓉镇', '大陆', '剧情', '9.0', 'https://movie.douban.com/subject/1297880/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2184544013.jpg']
['红楼梦', '大陆', '剧情', '9.0', 'https://movie.douban.com/subject/1329969/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2322451692.jpg']
['如此爹娘', '大陆', '剧情', '9.0', 'https://movie.douban.com/subject/3032535/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2323730451.jpg']
['孔明灯', '大陆', '剧情', '9.0', 'https://movie.douban.com/subject/6785099/', 'https://img3.doubanio.com/lpic/s6852223.jpg']
['穆桂英挂帅', '大陆', '剧情', '9.0', 'https://movie.douban.com/subject/2340950/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2345664290.jpg']
['霍伊特团队', '美国', '剧情', '9.7', 'https://movie.douban.com/subject/2006101/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2329853674.jpg']
['肖申克的救赎', '美国', '剧情', '9.6', 'https://movie.douban.com/subject/1292052/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg']
['控方证人', '美国', '剧情', '9.6', 'https://movie.douban.com/subject/1296141/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.jpg']
['威尔和格蕾丝 告别秀', '美国', '剧情', '9.6', 'https://movie.douban.com/subject/2263259/', 'https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2408281629.jpg']
['迈克尔·杰克逊：音乐历史专辑全集', '美国', '剧情', '9.6', 'https://movie.douban.com/subject/2122919/', 'https://img3.doubanio.com/lpic/s2541232.jpg']
['演员工作室：老爸老妈的浪漫史', '美国', '剧情', '9.6', 'https://movie.douban.com/subject/25855990/', 'https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2176444996.jpg']
['NBA黄金50周年纪念特辑', '美国', '剧情', '9.6', 'https://movie.douban.com/subject/3145883/', 'https://img3.doubanio.com/lpic/s3180872.jpg']
['AFI终身成就奖：向阿尔帕西诺致敬', '美国', '剧情', '9.6', 'https://movie.douban.com/subject/4832752/', 'https://img1.doubanio.com/lpic/s4361049.jpg']
